,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2015,39.86,SL.TLF.ACTI.1524.ZS,AFG,Afghanistan,South Asia,Low income,IDA
1,2016,39.92,SL.TLF.ACTI.1524.ZS,AFG,Afghanistan,South Asia,Low income,IDA
2,2017,40.03,SL.TLF.ACTI.1524.ZS,AFG,Afghanistan,South Asia,Low income,IDA
3,2018,40.12,SL.TLF.ACTI.1524.ZS,AFG,Afghanistan,South Asia,Low income,IDA
4,2019,40.22,SL.TLF.ACTI.1524.ZS,AFG,Afghanistan,South Asia,Low income,IDA
5,2015,32.21,SL.TLF.ACTI.1524.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
6,2016,33.48,SL.TLF.ACTI.1524.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
7,2017,33.42,SL.TLF.ACTI.1524.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
8,2018,35.56,SL.TLF.ACTI.1524.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
9,2019,36.72,SL.TLF.ACTI.1524.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
10,2015,26.58,SL.TLF.ACTI.1524.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
11,2016,26.97,SL.TLF.ACTI.1524.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
12,2017,27.27,SL.TLF.ACTI.1524.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
13,2018,27.11,SL.TLF.ACTI.1524.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
14,2019,26.87,SL.TLF.ACTI.1524.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
15,2015,57.24,SL.TLF.ACTI.1524.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
16,2016,57.11,SL.TLF.ACTI.1524.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
17,2017,56.88,SL.TLF.ACTI.1524.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
18,2018,56.57,SL.TLF.ACTI.1524.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
19,2019,56.18,SL.TLF.ACTI.1524.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
20,2015,38.55,SL.TLF.ACTI.1524.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
21,2016,38.54,SL.TLF.ACTI.1524.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
